                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            868              0             17              8              2              0             99              0              6              0
        Trouser              1            988              0              7              0              0              2              0              2              0
       Pullover             16              1            893              5             36              0             49              0              0              0
          Dress             13              0             10            936              9              0             31              0              1              0
           Coat              1              1             35             18            895              0             49              0              1              0
         Sandal              0              0              0              0              0            987              0              8              0              5
          Shirt             78              1             31             24             49              0            811              0              5              1
        Sneaker              0              0              0              0              0              3              0            977              0             20
            Bag              1              1              1              1              1              3              2              1            989              0
     Ankle boot              0              0              1              0              0              5              0             21              0            973
