Test Accuracy (percentage): 92.99
Test Accuracy (fraction): 0.9299

Macro ROC-AUC: 0.996059
Macro PR-AUC:  0.973101

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9923     0.9454     0.8640     0.8666
Trouser             0.9999     0.9990     0.9810     0.9929
Pullover            0.9940     0.9637     0.9020     0.9029
Dress               0.9976     0.9793     0.9350     0.9276
Coat                0.9957     0.9680     0.8960     0.9041
Sandal              0.9999     0.9991     0.9820     0.9889
Shirt               0.9822     0.8840     0.7970     0.7915
Sneaker             0.9996     0.9968     0.9830     0.9600
Bag                 0.9999     0.9992     0.9930     0.9841
Ankle boot          0.9995     0.9964     0.9660     0.9817
