Test Accuracy (percentage): 92.40
Test Accuracy (fraction): 0.9240

Macro ROC-AUC: 0.995704
Macro PR-AUC:  0.970642

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9936     0.9511     0.8810     0.8663
Trouser             0.9998     0.9987     0.9880     0.9900
Pullover            0.9937     0.9576     0.8960     0.8996
Dress               0.9971     0.9771     0.9330     0.9201
Coat                0.9946     0.9583     0.9310     0.8380
Sandal              0.9999     0.9989     0.9610     0.9928
Shirt               0.9800     0.8753     0.7130     0.8408
Sneaker             0.9995     0.9954     0.9820     0.9470
Bag                 0.9997     0.9986     0.9930     0.9745
Ankle boot          0.9992     0.9954     0.9620     0.9698
