                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            795              0              7             21              4              0            171              0              2              0
        Trouser              1            976              0             12              4              0              3              0              4              0
       Pullover             15              1            754              8            117              0            103              0              2              0
          Dress              5              3              5            896             40              0             51              0              0              0
           Coat              1              0              4             11            956              0             28              0              0              0
         Sandal              0              0              0              0              0            925              0             50              1             24
          Shirt             39              0              7             20             85              0            846              0              3              0
        Sneaker              0              0              0              0              0              1              0            983              0             16
            Bag              1              1              0              2              2              2              2              3            987              0
     Ankle boot              0              0              0              0              0              1              0             36              1            962
