Test Accuracy (percentage): 90.80
Test Accuracy (fraction): 0.9080

Macro ROC-AUC: 0.995257
Macro PR-AUC:  0.967525

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9925     0.9457     0.7950     0.9277
Trouser             0.9994     0.9975     0.9760     0.9949
Pullover            0.9936     0.9586     0.7540     0.9704
Dress               0.9965     0.9728     0.8960     0.9237
Coat                0.9942     0.9564     0.9560     0.7914
Sandal              0.9996     0.9972     0.9250     0.9957
Shirt               0.9787     0.8631     0.8460     0.7027
Sneaker             0.9990     0.9907     0.9830     0.9170
Bag                 0.9998     0.9988     0.9870     0.9870
Ankle boot          0.9992     0.9945     0.9620     0.9601
