                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            870              0             18             18              4              2             81              0              7              0
        Trouser              1            978              1             17              1              0              1              0              1              0
       Pullover             18              1            840              8             73              0             60              0              0              0
          Dress             15             10             14            916             25              0             15              0              5              0
           Coat              1              1             79             26            836              0             57              0              0              0
         Sandal              0              0              0              0              0            963              0             20              0             17
          Shirt            116              1             76             24             57              0            714              0             12              0
        Sneaker              0              0              0              0              0             15              0            965              0             20
            Bag              4              0              1              5              2              3              6              5            974              0
     Ankle boot              1              0              0              0              0              4              0             38              0            957
