Test Accuracy (percentage): 90.13
Test Accuracy (fraction): 0.9013

Macro ROC-AUC: 0.992589
Macro PR-AUC:  0.951838

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9901     0.9286     0.8700     0.8480
Trouser             0.9991     0.9967     0.9780     0.9869
Pullover            0.9853     0.9054     0.8400     0.8163
Dress               0.9948     0.9635     0.9160     0.9034
Coat                0.9893     0.9199     0.8360     0.8377
Sandal              0.9994     0.9940     0.9630     0.9757
Shirt               0.9714     0.8334     0.7140     0.7645
Sneaker             0.9987     0.9893     0.9650     0.9387
Bag                 0.9992     0.9954     0.9740     0.9750
Ankle boot          0.9985     0.9921     0.9570     0.9628
