Test Accuracy (percentage): 88.16
Test Accuracy (fraction): 0.8816

Macro ROC-AUC: 0.991104
Macro PR-AUC:  0.940038

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9890     0.9160     0.8090     0.8525
Trouser             0.9991     0.9956     0.9630     0.9948
Pullover            0.9836     0.8883     0.8070     0.8046
Dress               0.9935     0.9526     0.8950     0.8757
Coat                0.9862     0.8912     0.8500     0.7834
Sandal              0.9989     0.9919     0.9060     0.9902
Shirt               0.9655     0.7984     0.6990     0.7177
Sneaker             0.9980     0.9820     0.9720     0.8828
Bag                 0.9989     0.9934     0.9640     0.9718
Ankle boot          0.9983     0.9910     0.9510     0.9596
