number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_norm,params_batch_size,params_dropout,params_gamma,params_lr,params_momentum,params_n_layers,params_optimizer,params_scheduler,params_step_size,params_units_0,params_units_1,params_units_2,params_units_3,params_weight_decay,user_attrs_val_acc,state
0,0.9528556266163688,2026-07-27 22:21:06.246477,2026-07-27 22:27:25.215347,0 days 00:06:18.968870,GELU,after_act,128,0.05,0.1798695128633439,0.0002051338263087451,,4,AdamW,step,9.0,99,93.0,93.0,120.0,2.9375384576328313e-06,89.5,COMPLETE
1,0.9493194775192407,2026-07-27 22:27:25.254122,2026-07-27 22:32:30.708621,0 days 00:05:05.454499,LeakyReLU,before_act,512,0.15000000000000002,0.4100531293444458,0.00021930485556643703,,2,AdamW,step,10.0,164,358.0,,,1.5673095467235414e-06,89.14,COMPLETE
2,0.9335302124223037,2026-07-27 22:32:30.734902,2026-07-27 22:39:14.341183,0 days 00:06:43.606281,ELU,before_act,64,0.1,,0.00015030900645056822,0.9385113619277876,2,SGD,cosine,,395,171.0,,,3.87211803217458e-06,87.7,COMPLETE
3,0.9535017455990701,2026-07-27 22:39:14.377136,2026-07-27 22:51:55.694466,0 days 00:12:41.317330,LeakyReLU,before_act,64,0.2,,0.005323617594751502,,4,Adam,cosine,,170,82.0,282.0,311.0,7.411299781083242e-05,89.64,COMPLETE
4,0.9546198429401038,2026-07-27 22:51:55.803651,2026-07-27 23:09:33.107272,0 days 00:17:37.303621,GELU,after_act,512,0.15000000000000002,0.4442922333025374,0.00031519872951938895,,4,Adam,step,9.0,238,392.0,340.0,94.0,1.7027416886764403e-05,89.96,COMPLETE
5,0.9148683850764561,2026-07-27 23:09:33.207910,2026-07-27 23:11:59.230119,0 days 00:02:26.022209,LeakyReLU,none,128,0.15000000000000002,0.49426018164424035,0.0001736723715159316,,4,Adam,step,7.0,107,179.0,119.0,115.0,1.0300196600986763e-05,,PRUNED
6,0.9265469525089823,2026-07-27 23:11:59.302384,2026-07-27 23:14:12.267443,0 days 00:02:12.965059,LeakyReLU,after_act,256,0.1,,0.0028604390429824616,,1,AdamW,cosine,,139,,,,1.268672126210486e-05,,PRUNED
7,0.9264034726030352,2026-07-27 23:14:12.350979,2026-07-27 23:16:30.687275,0 days 00:02:18.336296,LeakyReLU,before_act,128,0.15000000000000002,,0.0001686347381011508,,1,Adam,none,,155,,,,0.000594402811341093,,PRUNED
8,0.915437929589849,2026-07-27 23:16:30.759567,2026-07-27 23:19:05.259728,0 days 00:02:34.500161,ELU,none,64,0.45,0.19759585735163343,0.0062677025403884866,0.8698660025812924,3,SGD,step,6.0,496,203.0,562.0,,6.596099207886096e-05,,PRUNED
9,0.9011998669669165,2026-07-27 23:19:05.293900,2026-07-27 23:21:21.254936,0 days 00:02:15.961036,GELU,none,64,0.2,,0.003887072196612054,,3,Adam,none,,184,905.0,931.0,,3.2204108362516767e-05,,PRUNED
10,0.9565633366604928,2026-07-27 23:21:21.289439,2026-07-27 23:35:47.239519,0 days 00:14:25.950080,ReLU,after_act,512,0.35000000000000003,0.3216417855990986,0.0008844120332118486,,3,Adam,step,5.0,942,929.0,270.0,,0.0008102356207766632,89.98,COMPLETE
11,0.9309785205996823,2026-07-27 23:35:47.328837,2026-07-27 23:37:28.173304,0 days 00:01:40.844467,ReLU,after_act,512,0.35000000000000003,0.3266393074315266,0.0009861959226759867,,3,Adam,step,5.0,881,1018.0,323.0,,0.0009318729218398099,,PRUNED
12,0.9386392029710363,2026-07-27 23:37:28.196025,2026-07-28 00:22:38.297261,0 days 00:45:10.101236,ReLU,after_act,512,0.30000000000000004,0.3313371164890361,0.0006871966747942837,,3,Adam,step,8.0,1012,532.0,271.0,,0.00025105429227439014,,PRUNED
13,0.9055171000784448,2026-07-28 00:22:38.325400,2026-07-28 00:23:09.131276,0 days 00:00:30.805876,ReLU,after_act,512,0.5,0.32030061457831427,0.0005887566238745413,,4,Adam,step,5.0,65,324.0,166.0,491.0,0.00016728599103763066,,PRUNED
14,0.9594437795866044,2026-07-28 00:23:09.148728,2026-07-28 00:28:40.277217,0 days 00:05:31.128489,GELU,after_act,512,0.35000000000000003,0.47956351730856045,0.0013336003906909697,,2,Adam,step,7.0,306,669.0,,,2.235551316796924e-05,90.26,COMPLETE
15,0.9280973194254954,2026-07-28 00:28:40.314630,2026-07-28 00:29:29.974900,0 days 00:00:49.660270,ReLU,after_act,256,0.35000000000000003,,0.0016771696877253914,0.8013159845419023,2,SGD,none,,703,714.0,,,0.00029725762431528067,,PRUNED
16,0.9535989576101176,2026-07-28 00:29:30.006771,2026-07-28 00:35:03.560007,0 days 00:05:33.553236,GELU,after_act,512,0.4,0.10600848465027501,0.0018073386748804175,,2,Adam,step,7.0,328,646.0,,,8.177750991644945e-05,89.44,COMPLETE
17,0.9595930834515893,2026-07-28 00:35:03.584926,2026-07-28 08:00:33.341592,0 days 07:25:29.756666,GELU,after_act,512,0.30000000000000004,0.40447932839439255,0.0004354209536991517,,2,Adam,step,6.0,666,753.0,,,1.0835847514722128e-06,90.4,COMPLETE
18,0.9191933184067596,2026-07-28 08:00:33.380547,2026-07-28 08:01:12.086439,0 days 00:00:38.705892,GELU,after_act,512,0.30000000000000004,,0.0004044829744210925,0.9867260043917918,1,SGD,cosine,,610,,,,4.915406109748011e-06,,PRUNED
19,0.9060903861853606,2026-07-28 08:01:12.109923,2026-07-28 08:01:53.497795,0 days 00:00:41.387872,GELU,none,256,0.25,,0.009967516291405114,,2,AdamW,none,,331,506.0,,,1.0650991293071114e-06,,PRUNED
20,0.9326331107115008,2026-07-28 08:01:53.522623,2026-07-28 08:02:32.783750,0 days 00:00:39.261127,GELU,after_act,512,0.45,0.4064406701000565,0.001583197024865692,,1,Adam,step,7.0,253,,,,7.63399431755144e-06,,PRUNED
21,0.9334970323926466,2026-07-28 08:02:32.818488,2026-07-28 08:03:18.091600,0 days 00:00:45.273112,ReLU,after_act,512,0.35000000000000003,0.4952310058109272,0.0010014770558832995,,3,Adam,step,6.0,740,795.0,943.0,,2.7475051543712383e-05,,PRUNED
22,0.9337563350633049,2026-07-28 08:03:18.118244,2026-07-28 08:03:58.544090,0 days 00:00:40.425846,GELU,after_act,512,0.30000000000000004,0.35304184881698875,0.00010099937675794086,,2,Adam,step,6.0,496,574.0,,,2.238423897926502e-06,,PRUNED
