                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            861              0             14             20              3              1             94              0              7              0
        Trouser              3            978              3             13              2              0              0              0              1              0
       Pullover             19              2            838             10             74              1             53              1              2              0
          Dress             21              6             10            909             29              0             20              0              5              0
           Coat              0              1             61             28            853              0             55              0              2              0
         Sandal              0              0              0              0              0            963              0             22              0             15
          Shirt            103              0             67             30             64              0            728              0              8              0
        Sneaker              0              0              0              0              0             17              0            959              0             24
            Bag              4              0              2              5              2              2              8              5            972              0
     Ankle boot              1              0              0              1              0              4              0             29              0            965
