                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top           1274              1             18             24              2              0             95              0              1              0
        Trouser              0           1397              1              5              2              0              1              0              1              0
       Pullover              9              0           1290              5             40              0             35              0              0              0
          Dress             23              4             35           1270             27              0             21              0              1              0
           Coat              1              1             46             30           1211              0             68              0              0              0
         Sandal              0              0              0              1              0           1426              0              7              0             14
          Shirt            137              4             95             27             42              0           1125              0              4              0
        Sneaker              0              0              0              0              0              9              0           1360              0             34
            Bag              7              0              9              3              3              1              7              0           1396              0
     Ankle boot              0              0              0              0              0              2              0             34              1           1313
