                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top           1265              2              9             20              2              0            116              0              1              0
        Trouser              0           1396              1              7              0              1              2              0              0              0
       Pullover             18              1           1248              5             58              0             49              0              0              0
          Dress             32              5              8           1247             47              0             41              0              0              1
           Coat              1              1             32             22           1259              0             42              0              0              0
         Sandal              0              0              0              0              0           1418              0             16              1             13
          Shirt            120              3             77             26             92              0           1114              0              2              0
        Sneaker              0              0              0              0              0              4              0           1381              0             18
            Bag              4              0             10              1              3              0              6              0           1402              0
     Ankle boot              0              0              0              0              0              3              0             50              1           1296
