Test Accuracy (percentage): 92.45
Test Accuracy (fraction): 0.9245

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8340     0.0077     0.9236
Trouser             0.9880     0.0016     0.9860
Pullover            0.9360     0.0190     0.8455
Dress               0.8880     0.0066     0.9377
Coat                0.8820     0.0118     0.8927
Sandal              0.9680     0.0004     0.9959
Shirt               0.8100     0.0274     0.7663
Sneaker             0.9860     0.0059     0.9490
Bag                 0.9860     0.0012     0.9890
Ankle boot          0.9670     0.0023     0.9787
