Test Accuracy (percentage): 92.99
Test Accuracy (fraction): 0.9299

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8640     0.0148     0.8666
Trouser             0.9810     0.0008     0.9929
Pullover            0.9020     0.0108     0.9029
Dress               0.9350     0.0081     0.9276
Coat                0.8960     0.0106     0.9041
Sandal              0.9820     0.0012     0.9889
Shirt               0.7970     0.0233     0.7915
Sneaker             0.9830     0.0046     0.9600
Bag                 0.9930     0.0018     0.9841
Ankle boot          0.9660     0.0020     0.9817
