Test Accuracy (percentage): 93.13
Test Accuracy (fraction): 0.9313

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8900     0.0149     0.8691
Trouser             0.9790     0.0007     0.9939
Pullover            0.8980     0.0106     0.9043
Dress               0.9390     0.0083     0.9260
Coat                0.9150     0.0126     0.8901
Sandal              0.9880     0.0012     0.9890
Shirt               0.7640     0.0212     0.8000
Sneaker             0.9790     0.0033     0.9703
Bag                 0.9890     0.0012     0.9890
Ankle boot          0.9720     0.0023     0.9789
