Test Accuracy (percentage): 92.04
Test Accuracy (fraction): 0.9204

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8390     0.0094     0.9080
Trouser             0.9730     0.0003     0.9969
Pullover            0.7900     0.0030     0.9670
Dress               0.9380     0.0107     0.9072
Coat                0.8740     0.0116     0.8937
Sandal              0.9760     0.0007     0.9939
Shirt               0.8790     0.0434     0.6921
Sneaker             0.9900     0.0064     0.9447
Bag                 0.9880     0.0012     0.9890
Ankle boot          0.9570     0.0017     0.9846
