Test Accuracy (percentage): 90.80
Test Accuracy (fraction): 0.9080

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.7950     0.0069     0.9277
Trouser             0.9760     0.0006     0.9949
Pullover            0.7540     0.0026     0.9704
Dress               0.8960     0.0082     0.9237
Coat                0.9560     0.0280     0.7914
Sandal              0.9250     0.0004     0.9957
Shirt               0.8460     0.0398     0.7027
Sneaker             0.9830     0.0099     0.9170
Bag                 0.9870     0.0014     0.9870
Ankle boot          0.9620     0.0044     0.9601
