Test Accuracy (percentage): 91.75
Test Accuracy (fraction): 0.9175

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8200     0.0084     0.9152
Trouser             0.9840     0.0009     0.9919
Pullover            0.8960     0.0130     0.8845
Dress               0.8660     0.0053     0.9475
Coat                0.8880     0.0087     0.9193
Sandal              0.9380     0.0003     0.9968
Shirt               0.8590     0.0398     0.7058
Sneaker             0.9900     0.0100     0.9167
Bag                 0.9830     0.0023     0.9791
Ankle boot          0.9510     0.0029     0.9734
