                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            868              0             13             23              4              2             84              0              6              0
        Trouser              4            965              0             25              3              0              2              0              1              0
       Pullover             22              0            779             12            114              0             71              0              2              0
          Dress             32              7              8            896             30              0             21              0              6              0
           Coat              0              1             59             34            845              0             60              0              1              0
         Sandal              0              0              0              1              0            944              0             35              0             20
          Shirt            142              1             62             32             73              0            676              0             14              0
        Sneaker              0              0              0              0              0             13              0            955              0             32
            Bag              7              0              2              7              2              2              6              4            970              0
     Ankle boot              0              0              0              0              0              6              0             39              0            955
