                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            854              0             16             19              2              0            101              1              7              0
        Trouser              2            973              1             16              5              0              2              0              1              0
       Pullover             18              1            838              9             71              1             60              0              2              0
          Dress             19              5             13            912             24              0             23              0              4              0
           Coat              2              1             74             31            842              0             49              0              1              0
         Sandal              0              0              0              1              0            960              0             24              1             14
          Shirt            111              1             85             27             63              0            703              0             10              0
        Sneaker              0              0              0              0              0             17              0            962              0             21
            Bag              4              0              3              4              1              4             10              4            970              0
     Ankle boot              1              0              0              0              0              7              0             28              0            964
