Test Accuracy (percentage): 88.53
Test Accuracy (fraction): 0.8853

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8680     0.0230     0.8074
Trouser             0.9650     0.0010     0.9908
Pullover            0.7790     0.0160     0.8440
Dress               0.8960     0.0149     0.8699
Coat                0.8450     0.0251     0.7890
Sandal              0.9440     0.0026     0.9762
Shirt               0.6760     0.0271     0.7348
Sneaker             0.9550     0.0087     0.9245
Bag                 0.9700     0.0033     0.9700
Ankle boot          0.9550     0.0058     0.9484
