Test Accuracy (percentage): 89.78
Test Accuracy (fraction): 0.8978

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8540     0.0174     0.8447
Trouser             0.9730     0.0009     0.9918
Pullover            0.8380     0.0213     0.8136
Dress               0.9120     0.0119     0.8950
Coat                0.8420     0.0184     0.8353
Sandal              0.9600     0.0032     0.9707
Shirt               0.7030     0.0272     0.7416
Sneaker             0.9620     0.0063     0.9441
Bag                 0.9700     0.0029     0.9739
Ankle boot          0.9640     0.0039     0.9650
