Test Accuracy (percentage): 90.13
Test Accuracy (fraction): 0.9013

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8700     0.0173     0.8480
Trouser             0.9780     0.0014     0.9869
Pullover            0.8400     0.0210     0.8163
Dress               0.9160     0.0109     0.9034
Coat                0.8360     0.0180     0.8377
Sandal              0.9630     0.0027     0.9757
Shirt               0.7140     0.0244     0.7645
Sneaker             0.9650     0.0070     0.9387
Bag                 0.9740     0.0028     0.9750
Ankle boot          0.9570     0.0041     0.9628
