Test Accuracy (percentage): 90.19
Test Accuracy (fraction): 0.9019

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8560     0.0156     0.8594
Trouser             0.9780     0.0007     0.9939
Pullover            0.8320     0.0193     0.8270
Dress               0.9100     0.0109     0.9028
Coat                0.8400     0.0192     0.8292
Sandal              0.9630     0.0024     0.9777
Shirt               0.7310     0.0281     0.7429
Sneaker             0.9760     0.0070     0.9394
Bag                 0.9770     0.0027     0.9760
Ankle boot          0.9560     0.0031     0.9715
