                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            939              1             16              6              0              1             36              0              1              0
        Trouser              1            989              0              8              0              0              1              0              1              0
       Pullover             24              1            931              7             14              0             23              0              0              0
          Dress             25              1              9            928             14              0             22              0              1              0
           Coat              1              0             83             16            828              0             72              0              0              0
         Sandal              0              0              0              0              0            978              0             18              0              4
          Shirt            148              1             66             22             29              0            732              0              2              0
        Sneaker              0              0              0              0              0              0              0            988              0             12
            Bag             11              0              0              3              0              2              0              0            984              0
     Ankle boot              0              0              0              0              0              4              0             27              1            968
