Test Accuracy (percentage): 92.65
Test Accuracy (fraction): 0.9265

Macro ROC-AUC: 0.995652
Macro PR-AUC:  0.971312

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9932     0.9547     0.9390     0.8172
Trouser             0.9998     0.9987     0.9890     0.9960
Pullover            0.9932     0.9588     0.9310     0.8425
Dress               0.9969     0.9771     0.9280     0.9374
Coat                0.9942     0.9554     0.8280     0.9356
Sandal              0.9997     0.9984     0.9780     0.9929
Shirt               0.9808     0.8794     0.7320     0.8262
Sneaker             0.9995     0.9960     0.9880     0.9564
Bag                 0.9999     0.9988     0.9840     0.9939
Ankle boot          0.9994     0.9958     0.9680     0.9837
