                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            834              1             29             13              1              0            117              0              5              0
        Trouser              0            988              2              7              2              0              0              0              1              0
       Pullover              9              1            936              6             20              0             28              0              0              0
          Dress              3              5             20            888             31              0             53              0              0              0
           Coat              0              1             56             15            882              0             45              0              1              0
         Sandal              0              0              0              0              0            968              0             25              0              7
          Shirt             57              4             58             16             51              0            810              0              4              0
        Sneaker              0              0              0              0              0              0              0            986              0             14
            Bag              0              2              5              2              1              0              4              0            986              0
     Ankle boot              0              0              1              0              0              4              0             28              0            967
