Test Accuracy (percentage): 92.45
Test Accuracy (fraction): 0.9245

Macro ROC-AUC: 0.995955
Macro PR-AUC:  0.971892

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9935     0.9543     0.8340     0.9236
Trouser             0.9998     0.9988     0.9880     0.9860
Pullover            0.9939     0.9622     0.9360     0.8455
Dress               0.9968     0.9718     0.8880     0.9377
Coat                0.9949     0.9606     0.8820     0.8927
Sandal              0.9999     0.9994     0.9680     0.9959
Shirt               0.9819     0.8815     0.8100     0.7663
Sneaker             0.9994     0.9952     0.9860     0.9490
Bag                 0.9998     0.9988     0.9860     0.9890
Ankle boot          0.9995     0.9963     0.9670     0.9787
