                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            837              0             14             10              1              1            132              0              5              0
        Trouser              0            988              0              6              0              0              4              0              2              0
       Pullover             15              2            890              6             22              0             65              0              0              0
          Dress              9              5             12            907             12              0             55              0              0              0
           Coat              0              0             45             19            870              0             63              0              3              0
         Sandal              0              0              0              0              0            978              0             18              0              4
          Shirt             67              1             32             16             29              0            847              0              8              0
        Sneaker              0              0              0              0              0              1              0            991              0              8
            Bag              2              1              0              1              0              4              6              0            986              0
     Ankle boot              0              1              0              0              0              4              0             39              0            956
