Test Accuracy (percentage): 92.50
Test Accuracy (fraction): 0.9250

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8370     0.0103     0.9000
Trouser             0.9880     0.0011     0.9900
Pullover            0.8900     0.0114     0.8963
Dress               0.9070     0.0064     0.9399
Coat                0.8700     0.0071     0.9315
Sandal              0.9780     0.0011     0.9899
Shirt               0.8470     0.0361     0.7227
Sneaker             0.9910     0.0063     0.9456
Bag                 0.9860     0.0020     0.9821
Ankle boot          0.9560     0.0013     0.9876
