                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            839              0              4              9              2              1            139              0              6              0
        Trouser              2            973              0             15              2              0              6              0              2              0
       Pullover             20              1            790             14             48              0            124              0              3              0
          Dress              8              0              2            938             15              0             37              0              0              0
           Coat              0              0             13             30            874              0             83              0              0              0
         Sandal              0              0              0              0              0            976              0             18              0              6
          Shirt             54              1              8             24             34              0            879              0              0              0
        Sneaker              0              0              0              0              0              1              0            990              0              9
            Bag              1              1              0              4              3              1              1              1            988              0
     Ankle boot              0              0              0              0              0              3              1             39              0            957
