Test Accuracy (percentage): 92.04
Test Accuracy (fraction): 0.9204

Macro ROC-AUC: 0.995000
Macro PR-AUC:  0.970940

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9871     0.9426     0.8390     0.9080
Trouser             0.9998     0.9988     0.9730     0.9969
Pullover            0.9922     0.9612     0.7900     0.9670
Dress               0.9966     0.9744     0.9380     0.9072
Coat                0.9946     0.9623     0.8740     0.8937
Sandal              0.9999     0.9990     0.9760     0.9939
Shirt               0.9810     0.8800     0.8790     0.6921
Sneaker             0.9996     0.9957     0.9900     0.9447
Bag                 0.9999     0.9993     0.9880     0.9890
Ankle boot          0.9994     0.9961     0.9570     0.9846
