                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            890              0             19             10              3              1             73              0              4              0
        Trouser              1            979              1             12              3              0              2              0              2              0
       Pullover             17              1            898              4             34              0             46              0              0              0
          Dress             10              2              7            939             17              0             25              0              0              0
           Coat              1              0             22             19            915              0             43              0              0              0
         Sandal              0              0              0              0              0            988              0              7              1              4
          Shirt             99              3             46             29             56              0            764              0              3              0
        Sneaker              0              0              0              0              0              4              0            979              0             17
            Bag              6              0              0              1              0              2              2              0            989              0
     Ankle boot              0              0              0              0              0              4              0             23              1            972
