                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            820              0             25              9              0              1            134              0             11              0
        Trouser              2            984              1              4              2              0              5              0              2              0
       Pullover             11              1            896              4             22              0             64              0              2              0
          Dress             12              5             18            866             17              0             82              0              0              0
           Coat              1              1             36             11            888              0             63              0              0              0
         Sandal              0              0              0              1              0            938              1             43              1             16
          Shirt             48              1             35             17             35              0            859              0              5              0
        Sneaker              0              0              0              0              0              0              0            990              0             10
            Bag              2              0              2              2              1              0              8              2            983              0
     Ankle boot              0              0              0              0              1              2              1             45              0            951
