Test Accuracy (percentage): 91.75
Test Accuracy (fraction): 0.9175

Macro ROC-AUC: 0.995367
Macro PR-AUC:  0.970039

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9914     0.9471     0.8200     0.9152
Trouser             0.9997     0.9982     0.9840     0.9919
Pullover            0.9929     0.9570     0.8960     0.8845
Dress               0.9965     0.9714     0.8660     0.9475
Coat                0.9944     0.9605     0.8880     0.9193
Sandal              0.9999     0.9990     0.9380     0.9968
Shirt               0.9806     0.8798     0.8590     0.7058
Sneaker             0.9994     0.9948     0.9900     0.9167
Bag                 0.9997     0.9982     0.9830     0.9791
Ankle boot          0.9992     0.9944     0.9510     0.9734
