                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            855              1             16             17              3              1             98              0              9              0
        Trouser              3            972              2             16              4              0              2              0              1              0
       Pullover             17              1            841              9             68              1             62              0              1              0
          Dress             15              7              8            913             33              0             20              0              4              0
           Coat              0              0             62             31            856              0             49              0              2              0
         Sandal              0              0              0              1              0            962              0             20              0             17
          Shirt            111              1             73             28             72              0            707              0              8              0
        Sneaker              0              0              0              0              0             11              0            970              0             19
            Bag              6              0              1              7              3              2              4              6            971              0
     Ankle boot              1              0              0              0              0              5              0             33              0            961
