Test Accuracy (percentage): 90.08
Test Accuracy (fraction): 0.9008

Macro ROC-AUC: 0.992793
Macro PR-AUC:  0.951745

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9904     0.9294     0.8550     0.8482
Trouser             0.9993     0.9974     0.9720     0.9898
Pullover            0.9873     0.9124     0.8410     0.8385
Dress               0.9954     0.9644     0.9130     0.8933
Coat                0.9888     0.9177     0.8560     0.8239
Sandal              0.9994     0.9950     0.9620     0.9796
Shirt               0.9707     0.8232     0.7070     0.7505
Sneaker             0.9989     0.9903     0.9700     0.9427
Bag                 0.9989     0.9954     0.9710     0.9749
Ankle boot          0.9987     0.9924     0.9610     0.9639
