number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout,params_gamma,params_lr,params_n_layers,params_scheduler,params_step_size,params_units_0,params_units_1,params_units_2,user_attrs_val_acc,state
0,0.9460802885645118,2026-07-28 09:50:00.022179,2026-07-28 09:55:27.251774,0 days 00:05:27.229595,before_act,0.2,0.10823379771832098,0.0003071057367777374,2,step,9.0,98,98.0,,89.21666666666667,COMPLETE
1,0.9491891577212159,2026-07-28 09:55:27.303228,2026-07-28 10:01:16.048621,0 days 00:05:48.745393,before_act,0.30000000000000004,0.34474115788895177,0.0018276027831785732,1,step,6.0,106,,,89.36666666666666,COMPLETE
2,0.9540671348107175,2026-07-28 10:01:16.401375,2026-07-28 10:09:57.584291,0 days 00:08:41.182916,before_act,0.35000000000000003,,0.0001518747922672249,2,cosine,,564,111.0,,89.96666666666667,COMPLETE
3,0.958140567127462,2026-07-28 10:09:57.697303,2026-07-28 10:20:08.978553,0 days 00:10:11.281250,before_act,0.2,0.29807076404450805,0.0006172115948107076,3,step,5.0,931,601.0,148.0,90.65,COMPLETE
4,0.9452371254277192,2026-07-28 10:20:09.020593,2026-07-28 10:24:59.500288,0 days 00:04:50.479695,after_act,0.35000000000000003,0.4757995766256756,0.00011085122517311723,2,step,9.0,151,270.0,,88.55,COMPLETE
5,0.9383637525870038,2026-07-28 10:24:59.527240,2026-07-28 10:26:06.853951,0 days 00:01:07.326711,after_act,0.2,,0.0014594768942966846,1,cosine,,110,,,,PRUNED
6,0.936797214888181,2026-07-28 10:26:06.877721,2026-07-28 10:27:03.609260,0 days 00:00:56.731539,before_act,0.2,0.40889790771866297,0.0002254411699736049,1,step,10.0,287,,,,PRUNED
7,0.9568649773665208,2026-07-28 10:27:03.633671,2026-07-28 10:31:55.381296,0 days 00:04:51.747625,after_act,0.30000000000000004,,0.0001813573086778342,3,cosine,,482,542.0,78.0,90.41666666666667,COMPLETE
8,0.933392658081373,2026-07-28 10:31:55.406787,2026-07-28 10:32:51.190932,0 days 00:00:55.784145,after_act,0.45,0.14783769837532068,0.0006470376604234771,1,step,7.0,157,,,,PRUNED
9,0.958268841839583,2026-07-28 10:32:51.214027,2026-07-28 10:37:42.051074,0 days 00:04:50.837047,before_act,0.2,0.22574239243053068,0.0008471354625326559,3,step,8.0,251,272.0,209.0,90.5,COMPLETE
10,0.9251884714235912,2026-07-28 10:37:42.086713,2026-07-28 10:38:40.780545,0 days 00:00:58.693832,before_act,0.5,,0.0008429441311970389,3,cosine,,67,256.0,792.0,,PRUNED
11,0.9575604150746487,2026-07-28 10:38:40.802680,2026-07-28 10:43:58.545947,0 days 00:05:17.743267,before_act,0.25,0.2532852811520722,0.0005156911709595949,3,step,5.0,881,825.0,171.0,90.25,COMPLETE
12,0.9579216145049733,2026-07-28 10:43:58.573092,2026-07-28 10:49:00.962028,0 days 00:05:02.388936,before_act,0.25,0.23711971530652654,0.0009945994194370564,3,step,7.0,1021,345.0,213.0,90.76666666666667,COMPLETE
13,0.954334910131992,2026-07-28 10:49:00.996064,2026-07-28 11:14:59.198578,0 days 00:25:58.202514,before_act,0.25,0.2697106337420704,0.00040225704212791015,3,step,5.0,278,503.0,212.0,,PRUNED
14,0.9549694418312447,2026-07-28 11:14:59.542532,2026-07-28 11:26:21.479665,0 days 00:11:21.937133,before_act,0.2,0.3222456945667549,0.001102524583660128,2,step,8.0,328,162.0,,,PRUNED
15,0.9576516525841645,2026-07-28 11:26:21.504143,2026-07-28 11:31:30.607450,0 days 00:05:09.103307,before_act,0.30000000000000004,0.1930645158125258,0.0005939985833549009,3,step,7.0,583,968.0,129.0,90.31666666666666,COMPLETE
16,0.951671504303898,2026-07-28 11:31:30.632258,2026-07-28 11:33:08.686526,0 days 00:01:38.054268,before_act,0.25,0.34204126860053563,0.00036860207547165594,3,step,6.0,190,479.0,405.0,,PRUNED
17,0.9495244427653692,2026-07-28 11:33:08.710135,2026-07-28 11:34:45.139168,0 days 00:01:36.429033,before_act,0.2,0.1910896629583448,0.0007893818097583343,2,step,10.0,376,212.0,,,PRUNED
18,0.9415007722062392,2026-07-28 11:34:45.161390,2026-07-28 11:35:46.539799,0 days 00:01:01.378409,after_act,0.4,,0.0011928072681251175,3,cosine,,739,680.0,361.0,,PRUNED
19,0.9440456809960509,2026-07-28 11:35:46.566504,2026-07-28 11:36:52.558712,0 days 00:01:05.992208,before_act,0.25,0.2953191891167931,0.0004785217220083416,2,step,8.0,237,367.0,,,PRUNED
20,,2026-07-28 12:49:49.088619,2026-07-28 12:49:53.375925,0 days 00:00:04.287306,before_act,0.30000000000000004,0.39536221789000825,0.0002625586392789083,3,step,6.0,435,160.0,81.0,,FAIL
