number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout,params_gamma,params_lr,params_n_layers,params_scheduler,params_step_size,params_units_0,params_units_1,params_units_2,user_attrs_val_acc,state
0,0.9460802885645118,2026-07-28 09:50:00.022179,2026-07-28 09:55:27.251774,0 days 00:05:27.229595,before_act,0.2,0.10823379771832098,0.0003071057367777374,2,step,9.0,98,98.0,,89.21666666666667,COMPLETE
1,0.9491891577212159,2026-07-28 09:55:27.303228,2026-07-28 10:01:16.048621,0 days 00:05:48.745393,before_act,0.30000000000000004,0.34474115788895177,0.0018276027831785732,1,step,6.0,106,,,89.36666666666666,COMPLETE
2,0.9540671348107175,2026-07-28 10:01:16.401375,2026-07-28 10:09:57.584291,0 days 00:08:41.182916,before_act,0.35000000000000003,,0.0001518747922672249,2,cosine,,564,111.0,,89.96666666666667,COMPLETE
3,0.958140567127462,2026-07-28 10:09:57.697303,2026-07-28 10:20:08.978553,0 days 00:10:11.281250,before_act,0.2,0.29807076404450805,0.0006172115948107076,3,step,5.0,931,601.0,148.0,90.65,COMPLETE
4,0.9452371254277192,2026-07-28 10:20:09.020593,2026-07-28 10:24:59.500288,0 days 00:04:50.479695,after_act,0.35000000000000003,0.4757995766256756,0.00011085122517311723,2,step,9.0,151,270.0,,88.55,COMPLETE
7,0.9568649773665208,2026-07-28 10:27:03.633671,2026-07-28 10:31:55.381296,0 days 00:04:51.747625,after_act,0.30000000000000004,,0.0001813573086778342,3,cosine,,482,542.0,78.0,90.41666666666667,COMPLETE
9,0.958268841839583,2026-07-28 10:32:51.214027,2026-07-28 10:37:42.051074,0 days 00:04:50.837047,before_act,0.2,0.22574239243053068,0.0008471354625326559,3,step,8.0,251,272.0,209.0,90.5,COMPLETE
11,0.9575604150746487,2026-07-28 10:38:40.802680,2026-07-28 10:43:58.545947,0 days 00:05:17.743267,before_act,0.25,0.2532852811520722,0.0005156911709595949,3,step,5.0,881,825.0,171.0,90.25,COMPLETE
12,0.9579216145049733,2026-07-28 10:43:58.573092,2026-07-28 10:49:00.962028,0 days 00:05:02.388936,before_act,0.25,0.23711971530652654,0.0009945994194370564,3,step,7.0,1021,345.0,213.0,90.76666666666667,COMPLETE
15,0.9576516525841645,2026-07-28 11:26:21.504143,2026-07-28 11:31:30.607450,0 days 00:05:09.103307,before_act,0.30000000000000004,0.1930645158125258,0.0005939985833549009,3,step,7.0,583,968.0,129.0,90.31666666666666,COMPLETE
