                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            864              0             12             19              2              2             96              0              5              0
        Trouser              1            976              2             16              3              0              1              0              1              0
       Pullover             21              0            839              8             73              1             56              1              1              0
          Dress             16              7             10            913             30              0             20              0              4              0
           Coat              2              0             69             32            841              0             55              0              1              0
         Sandal              0              0              0              0              0            964              0             20              0             16
          Shirt            109              1             73             28             54              0            728              0              7              0
        Sneaker              0              0              0              0              0             15              0            965              0             20
            Bag              6              0              1              3              2              4              4              4            976              0
     Ankle boot              1              0              0              0              0              6              0             29              0            964
