Test Accuracy (percentage): 90.26
Test Accuracy (fraction): 0.9026

Macro ROC-AUC: 0.992858
Macro PR-AUC:  0.952567

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9904     0.9305     0.8610     0.8508
Trouser             0.9993     0.9971     0.9780     0.9909
Pullover            0.9864     0.9108     0.8380     0.8422
Dress               0.9955     0.9654     0.9090     0.8947
Coat                0.9891     0.9197     0.8530     0.8306
Sandal              0.9994     0.9942     0.9630     0.9747
Shirt               0.9719     0.8307     0.7280     0.7599
Sneaker             0.9988     0.9890     0.9590     0.9439
Bag                 0.9994     0.9959     0.9720     0.9749
Ankle boot          0.9985     0.9925     0.9650     0.9612
