Test Accuracy (percentage): 92.50
Test Accuracy (fraction): 0.9250

Macro ROC-AUC: 0.995920
Macro PR-AUC:  0.971217

Class              ROC-AUC     PR-AUC        TPR  Precision
-------------------------------------------------------
T-shirt/top         0.9929     0.9501     0.8370     0.9000
Trouser             0.9998     0.9988     0.9880     0.9900
Pullover            0.9941     0.9606     0.8900     0.8963
Dress               0.9970     0.9749     0.9070     0.9399
Coat                0.9950     0.9613     0.8700     0.9315
Sandal              0.9997     0.9981     0.9780     0.9899
Shirt               0.9821     0.8788     0.8470     0.7227
Sneaker             0.9995     0.9957     0.9910     0.9456
Bag                 0.9996     0.9982     0.9860     0.9821
Ankle boot          0.9994     0.9957     0.9560     0.9876
