Train samples: 60000, Test samples: 10000

Class            Train Count    Train %   Test Count     Test %
T-shirt/top             6000      10.0%         1000      10.0%
Trouser                 6000      10.0%         1000      10.0%
Pullover                6000      10.0%         1000      10.0%
Dress                   6000      10.0%         1000      10.0%
Coat                    6000      10.0%         1000      10.0%
Sandal                  6000      10.0%         1000      10.0%
Shirt                   6000      10.0%         1000      10.0%
Sneaker                 6000      10.0%         1000      10.0%
Bag                     6000      10.0%         1000      10.0%
Ankle boot              6000      10.0%         1000      10.0%
