                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            846              1             18             16              3              1            108              0              7              0
        Trouser              0            988              0              8              1              0              1              0              2              0
       Pullover             12              1            911             10             39              0             27              0              0              0
          Dress              3              4              7            927             34              0             24              0              1              0
           Coat              0              1             28             15            927              0             29              0              0              0
         Sandal              0              0              0              0              0            987              0              7              0              6
          Shirt             60              1             53             24             65              0            791              0              6              0
        Sneaker              0              0              0              0              0              7              0            977              0             16
            Bag              2              1              0              0              2              0              3              0            992              0
     Ankle boot              0              0              0              0              1              5              0             24              0            970
