                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            881              2             27             16              4              0             62              0              8              0
        Trouser              1            988              0              8              0              0              1              0              2              0
       Pullover             14              2            896              6             52              0             28              0              2              0
          Dress             11              1              9            933             28              0             15              0              3              0
           Coat              0              1             19             21            931              0             28              0              0              0
         Sandal              0              0              0              0              0            961              0             22              2             15
          Shirt            107              4             45             28             95              0            713              0              8              0
        Sneaker              0              0              0              0              0              3              0            982              0             15
            Bag              3              0              0              2              1              0              1              0            993              0
     Ankle boot              0              0              0              0              0              4              0             33              1            962
