                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            864              0             16             14              1              1             96              0              8              0
        Trouser              3            981              0              9              3              0              3              0              1              0
       Pullover             17              1            902              8             35              0             37              0              0              0
          Dress             17              3             13            935              9              0             23              0              0              0
           Coat              1              1             31             21            896              0             48              0              2              0
         Sandal              0              0              0              0              0            982              0             13              0              5
          Shirt             93              2             37             20             47              0            797              0              4              0
        Sneaker              0              0              0              0              0              4              0            983              0             13
            Bag              2              0              0              1              0              1              3              0            993              0
     Ankle boot              0              0              0              0              0              5              0             28              1            966
