                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            795              4             16             62              6              1            107              0              9              0
        Trouser              2            968              0             24              3              0              2              0              1              0
       Pullover             17              0            778             16            112              1             76              0              0              0
          Dress             10             15              8            913             25              0             25              0              4              0
           Coat              0              0             69             48            840              0             43              0              0              0
         Sandal              0              0              0              1              0            952              0             34              0             13
          Shirt             99              2             83             38            106              0            662              0             10              0
        Sneaker              0              0              0              0              0             23              0            955              1             21
            Bag              5              1              3             11              3              4              5              6            962              0
     Ankle boot              1              0              0              0              0             11              0             36              0            952
