                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            809              0             15             26              4              0            139              1              6              0
        Trouser              1            963              3             27              3              0              1              0              2              0
       Pullover             18              0            807             11            112              0             49              1              2              0
          Dress             22              4             10            895             34              0             31              0              4              0
           Coat              1              0             68             31            850              0             49              0              1              0
         Sandal              0              0              0              0              0            906              0             76              2             16
          Shirt             92              0             93             25             81              0            699              0             10              0
        Sneaker              0              0              0              0              0              3              0            972              1             24
            Bag              5              1              7              7              1              1              6              8            964              0
     Ankle boot              1              0              0              0              0              5              0             43              0            951
