                   T-shirt/top        Trouser       Pullover          Dress           Coat         Sandal          Shirt        Sneaker            Bag     Ankle boot
    T-shirt/top            889              0             16             11              3              1             72              0              8              0
        Trouser              0            990              1              7              0              0              1              0              1              0
       Pullover             17              1            912              5             32              0             33              0              0              0
          Dress             14              3              6            926             21              0             30              0              0              0
           Coat              1              1             30             14            910              0             43              0              1              0
         Sandal              0              0              0              0              0            986              0              9              0              5
          Shirt            108              1             58             23             67              0            740              0              3              0
        Sneaker              0              0              0              0              0              3              0            985              0             12
            Bag              3              0              1              1              0              0              2              1            992              0
     Ankle boot              0              0              1              0              0              4              0             31              0            964
