Test Accuracy (percentage): 92.40
Test Accuracy (fraction): 0.9240

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8810     0.0151     0.8663
Trouser             0.9880     0.0011     0.9900
Pullover            0.8960     0.0111     0.8996
Dress               0.9330     0.0090     0.9201
Coat                0.9310     0.0200     0.8380
Sandal              0.9610     0.0008     0.9928
Shirt               0.7130     0.0150     0.8408
Sneaker             0.9820     0.0061     0.9470
Bag                 0.9930     0.0029     0.9745
Ankle boot          0.9620     0.0033     0.9698
