Test Accuracy (percentage): 87.77
Test Accuracy (fraction): 0.8777

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.7950     0.0149     0.8558
Trouser             0.9680     0.0024     0.9778
Pullover            0.7780     0.0199     0.8130
Dress               0.9130     0.0222     0.8203
Coat                0.8400     0.0283     0.7671
Sandal              0.9520     0.0044     0.9597
Shirt               0.6620     0.0287     0.7196
Sneaker             0.9550     0.0084     0.9263
Bag                 0.9620     0.0028     0.9747
Ankle boot          0.9520     0.0038     0.9655
