Test Accuracy (percentage): 88.16
Test Accuracy (fraction): 0.8816

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8090     0.0156     0.8525
Trouser             0.9630     0.0006     0.9948
Pullover            0.8070     0.0218     0.8046
Dress               0.8950     0.0141     0.8757
Coat                0.8500     0.0261     0.7834
Sandal              0.9060     0.0010     0.9902
Shirt               0.6990     0.0306     0.7177
Sneaker             0.9720     0.0143     0.8828
Bag                 0.9640     0.0031     0.9718
Ankle boot          0.9510     0.0044     0.9596
