Test Accuracy (percentage): 92.65
Test Accuracy (fraction): 0.9265

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.9390     0.0233     0.8172
Trouser             0.9890     0.0004     0.9960
Pullover            0.9310     0.0193     0.8425
Dress               0.9280     0.0069     0.9374
Coat                0.8280     0.0063     0.9356
Sandal              0.9780     0.0008     0.9929
Shirt               0.7320     0.0171     0.8262
Sneaker             0.9880     0.0050     0.9564
Bag                 0.9840     0.0007     0.9939
Ankle boot          0.9680     0.0018     0.9837
