Test Accuracy (percentage): 92.94
Test Accuracy (fraction): 0.9294

Class           TPR(Recall)        FPR  Precision
T-shirt/top         0.8890     0.0159     0.8614
Trouser             0.9900     0.0007     0.9940
Pullover            0.9120     0.0126     0.8898
Dress               0.9260     0.0068     0.9382
Coat                0.9100     0.0137     0.8809
Sandal              0.9860     0.0009     0.9920
Shirt               0.7400     0.0201     0.8035
Sneaker             0.9850     0.0046     0.9600
Bag                 0.9920     0.0014     0.9871
Ankle boot          0.9640     0.0019     0.9827
